source,BinaryTarget
Facebook posts,FAKE
Joe Biden,REAL
Facebook posts,FAKE
Facebook posts,FAKE
Instagram posts,FAKE
Instagram posts,FAKE
Facebook posts,FAKE
Facebook posts,FAKE
Vivek Ramaswamy,REAL
"Robert F. Kennedy, Jr.",FAKE
Facebook posts,FAKE
Instagram posts,FAKE
Facebook posts,FAKE
Facebook posts,FAKE
Facebook posts,FAKE
Facebook posts,FAKE
Facebook posts,FAKE
Instagram posts,FAKE
Instagram posts,FAKE
Instagram posts,FAKE
Jared Moskowitz,FAKE
Tim Scott,REAL
Social Media,FAKE
Instagram posts,FAKE
Facebook posts,FAKE
Facebook posts,FAKE
Facebook posts,FAKE
Instagram posts,FAKE
Facebook posts,FAKE
Joe Biden,FAKE
Instagram posts,FAKE
Facebook posts,FAKE
Viral image,FAKE
Instagram posts,FAKE
Instagram posts,FAKE
Facebook posts,FAKE
Facebook posts,FAKE
TikTok posts,FAKE
Viral image,FAKE
Donald Trump,FAKE
Facebook posts,FAKE
Viral image,FAKE
Facebook posts,FAKE
Facebook posts,FAKE
Tim Scott,FAKE
Facebook posts,FAKE
Facebook posts,FAKE
Facebook posts,FAKE
Facebook posts,FAKE
Facebook posts,FAKE
Facebook posts,FAKE
Joe Biden,REAL
Hal Turner Radio Show,FAKE
Donald Trump,FAKE
Facebook posts,FAKE
Bloggers,FAKE
Viral image,FAKE
Steve Milloy,FAKE
Tweets,FAKE
Mark Kaye,FAKE
Facebook posts,FAKE
Facebook posts,FAKE
Facebook posts,FAKE
Ron DeSantis,FAKE
Facebook posts,FAKE
Instagram posts,FAKE
Instagram posts,FAKE
Facebook posts,FAKE
Facebook posts,FAKE
Facebook posts,FAKE
Facebook posts,FAKE
Viral image,FAKE
Tweets,FAKE
Nick LaLota,REAL
Gavin Newsom,REAL
Joe Biden,REAL
Facebook posts,FAKE
Instagram posts,FAKE
Roger Marshall,FAKE
Instagram posts,FAKE
Nick LaLota,REAL
Gavin Newsom,REAL
Joe Biden,REAL
Facebook posts,FAKE
Instagram posts,FAKE
Roger Marshall,FAKE
Instagram posts,FAKE
Gavin Newsom,REAL
Instagram posts,FAKE
Roger Marshall,FAKE
Gavin Newsom,REAL
Instagram posts,FAKE
Roger Marshall,FAKE
Instagram posts,FAKE
Nick LaLota,REAL
Gavin Newsom,REAL
Joe Biden,REAL
Facebook posts,FAKE
Instagram posts,FAKE
Roger Marshall,FAKE
Instagram posts,FAKE
Gavin Newsom,REAL
Instagram posts,FAKE
Roger Marshall,FAKE
Gavin Newsom,REAL
Instagram posts,FAKE
Roger Marshall,FAKE
